2008 2008-05-02 1,720,434,642 9,486,091 $18,455,663,315
2002 2002-06-04 1,161,832,049 78,247,652 $71,692,943,497
2002 2002-07-08 4,153,856,062 73,637,273 $61,850,015,537
2005 2005-08-04 4,625,953,905 39,777,603 $1,215,429,858
2010 2010-05-12 9,584,795,000 35,961,933 $73,699,854,070
2008 2008-07-03 1,791,043,887 82,640,167 $90,564,340,769
2001 2001-09-09 5,437,819,895 44,548,844 $56,707,094,989
2001 2001-10-06 1,514,234,419 43,232,035 $72,195,999,063
2019 2019-04-28 4,708,997,213 99,801,008 $58,629,088,930
2020 2020-01-05 6,699,690,771 53,340,125 $93,624,786,886
2012 2012-08-28 2,844,608,843 74,577,395 $99,503,365,313
2018 2018-06-20 4,275,737,587 32,732,992 $63,241,942,523
2010 2010-09-29 8,653,274,447 8,266,857 $77,862,466,679
2006 2006-03-07 28,426,471 59,382,387 $4,134,537,329
2009 2009-11-12 7,385,830,744 40,257,724 $83,025,749,294
2022 2022-02-05 8,642,909,977 38,890,335 $22,677,273,672
2002 2002-08-13 2,301,061,835 27,107,166 $44,456,534,816
2002 2002-01-18 9,574,163,718 17,304,373 $9,179,785,177
2004 2004-02-02 2,758,694,475 80,394,276 $5,220,543,095
2016 2016-06-12 6,469,254,620 40,026,756 $5,952,958,590
2021 2021-03-23 5,182,769,776 19,133,805 $11,345,625,380
2002 2002-10-14 4,336,280,092 52,492,785 $93,300,511,327
2015 2015-07-09 5,281,228,509 90,420,482 $39,602,674,795
2004 2004-10-24 5,009,949,459 22,590,468 $34,641,317,795
2018 2018-10-24 7,030,266,813 93,883,447 $72,592,766,305
2019 2019-02-15 3,853,813,999 50,865,346 $50,254,065,679
2020 2020-12-04 9,824,878,885 62,846,924 $27,928,297,104
2005 2005-10-24 2,876,195,640 43,919,421 $68,393,938,495
2022 2022-10-19 3,067,425,120 87,589,530 $40,147,454,057
2019 2019-07-12 85,737,262 67,804,163 $59,809,593,480
2011 2011-10-14 1,825,573,926 68,434,653 $2,996,387,192
2014 2014-07-25 3,780,391,477 43,704,380 $61,771,389,809
2007 2007-12-23 1,383,507,727 13,337,732 $96,221,789,017
2005 2005-05-16 9,655,163,847 50,720,759 $4,856,849,732
2014 2014-12-08 1,934,208,834 99,720,597 $14,650,742,394
2015 2015-08-12 765,580,242 53,433,353 $61,388,521,869
2019 2019-02-08 1,259,460,741 88,564,232 $39,993,446,678
2022 2022-02-25 1,494,747,537 37,047,459 $87,704,569,799
2011 2011-04-19 4,725,010,327 52,181,625 $7,494,799,110
2012 2012-01-01 6,450,981,826 14,981,876 $23,375,919,095
2005 2005-04-14 5,092,932,115 11,459,624 $6,896,341,471
2013 2013-08-15 3,208,680,560 91,710,048 $1,396,571,785
2003 2003-12-18 8,984,295,136 85,514,376 $43,758,662,735
2001 2001-04-16 2,209,878,521 98,087,905 $75,523,402,440
2002 2002-04-25 5,017,495,151 33,888,926 $34,188,897,262
2006 2006-12-08 3,792,293,727 30,609,976 $72,647,186,973
2023 2023-01-17 2,460,631,431 21,819,509 $7,505,834,134
2021 2021-01-20 7,412,593,104 51,650,066 $96,809,849,838
2009 2009-08-14 9,274,969,181 62,649,326 $67,535,426,193
2002 2002-11-27 336,713,382 18,546,029 $50,960,012,960
2022 2022-12-14 2,970,926,951 59,922,420 $12,327,826,479
2014 2014-05-12 4,150,068,681 57,410,809 $76,130,186,992
2004 2004-09-30 4,976,719,377 82,085,768 $83,419,123,260
2014 2014-03-09 1,620,217,549 78,300,089 $97,615,693,152
